area,modalidade,artigo,titulo,autores,orientadores,resumo,bibliografia
Pesquisa,Oral,19,ESTUDO TEÓRICO DE UM NOVO MATERIAL DE NITRETO DE BORO ANÁLOGO AO TOLANENO,,MARCOS GONÇALVES DE MENEZES,"O tolaneno é um novo material bidimensional, alótropo do carbono [1], composto por anéis de 4, 6, 8 e 12 átomos, que pode, teoricamente, ser
obtido através de um processo químico semelhante à obtenção do bifenileno, outro alótropo obtido experimentalmente com sucesso. O tolaneno
demonstra aplicações promissoras em baterias de íon Lítio, mas a ausência de um gap de energia limita a aplicação deste material em dispositivos
eletrônicos, tal como ocorre com o grafeno e outros alótropos. Nesse sentido, é comum buscar um material isolante através da substituição dos átomos
de carbono por átomos de nitrogênio e boro dispostos alternadamente na mesma estrutura. Pode−se dar como exemplo o Nitreto de Boro hexagonal
(h−BN), análogo ao grafeno, e o bifenileno−BN, análogo ao bifenileno [3]. Motivados por este resultado, foi feito um estudo teórico de um material de
Nitreto de Boro análogo ao tolaneno, o tol−BN, através de cálculos ab−initio baseados na teoria do funcional de densidade (DFT). Foram realizados
cálculos de energia de coesão, relaxação e de espectro de fônons, além de cálculos de propriedades elásticas e de estrutura de bandas. Após a relaxação,
foi obtida uma rede retangular com parâmetros a = 7.660 Å e b = 11.744 Å. O espectro de fônons não apresentou frequências imaginárias, sugerindo que
o material é estável dinâmicamente. Foi verificado também que o material possui uma energia de coesão de −7.203 eV, semelhante à energia de coesão
do tolaneno e de outros materiais de nitreto de boro. Para as propriedades mecânicas, foram obtidos módulos de Young de Ea = 162.34 N/m e Eb =
184.96 N/m, e coeficientes de Poisson de νa = 0.23 e νb = 0.20, indicando uma anisotropia menor em relação ao tolaneno. Adicionalmente, foi verificado
que os coeficientes de elasticidade do material cumprem o critério geral de estabilidade mecânica. Por fim, através do cálculo de estrutura de bandas, foi
verificado que o material é um isolante, com um gap direto de 3.83 eV. Foi investigada também a dependência da energia do gap com tensões uniaxiais
e biaxiais, para verificar a tunabilidade do material, e a sua aplicabilidade em dispositivos opto−eletrônicos.","1.​ ULLAH, S.; MENEZES, M. G.; SILVA, A. M. Theoretical characterization of tolanene: A new 2D sp−sp2 hybridized carbon allotrope. Carbon,
v. 217, p. 118618, 16 nov. 2023. 2.​ FAN, Q. et al. Biphenylene network: A nonbenzenoid carbon allotrope. Science, v. 372, n. 6544, p. 852–856, 21 maio
2021. 3.​ MA, X.−D. et al. BN counterpart of biphenylene network: A theoretical investigation. Applied Surface Science, v. 598, p. 153674, 26 maio 2022."
Extensão,Pôster Virtual,25,O USO DO MÉTODO GPR NA DETECÇÃO DE ARTEFATOS ARQUEOLÓGICOS NA ILHA DO GOVERNADOR (RJ) − BRASIL,,GLEIDE ALENCAR,"O método geofisico GPR (Ground Penetrating Radar) é uma ferramenta inovadora e não invasiva, fundamentado na propagação de ondas
eletromagnéticas no subsolo, para auxiliar a prospecção arqueológica sem danificar o artefato arqueológico. O GPR procura mapear e identificar
estruturas sem a necessidade de escavação direta (Reynolds, 1997). A metodologia incluiu revisão bibliográfica em arqueologia, geofísica, GPR e geologia
local. Os dados foram processados e interpretados através do software ReflexW. O sítio arqueológico está localizado na Base de Rádio da Marinha na Ilha
do Governador, área de estudo onde há presença de artefatos do período colonial brasileiro no subsolo (Souza, 2019). A área estudada foi dividida em
dois setores com linhas de GPR usando o modo de aquisição common−offset com espaçamento de 0,30 cm, no primeiro setor foram feitas 6 linhas
paralelas com direção WNW−ESE e no segundo setor foram feitas 11 linhas paralelas de direção NW−SE. Nas seções radargramas foram identificadas 3
interfaces geológicas, solo alterado, subsolo e rocha (embasamento). As anomalias identificadas foram detectadas entre 0 a 3 m de profundidade. Os uso
do GPR demonstrou a eficácia do método no vestígio de artefatos arqueológicos os quais estão relacionados com a cultura da época (Correia, 2018). A
detecção e identificação dos artefatos contribuem para a preservação do patrimônio histórico.","Correia, K., Silva. M, Marques, F. (2018) The GPR method applied to archeology in the city of Gurupá−Brazil. Revista Brasileira de Geofísica
Vol. 36(4), 2018 Reynolds, John M. (1997) An introduction to Applied and Environmental Geophysics, John Wiley & Sones, New York. Souza, Marcos &
Buarque, Angela. (2019). Olhando para o passado, pensando o futuro: as pesquisas arqueológicas na Ilha do Governador, Rio de Janeiro. Revista de
Arqueologia. 32. 178. 10.24885/sab.v32i2.719."
Extensão,Pôster Virtual,26,"Oficina: ODS 3, 6 e 14 − Vida saudável, Água e Saneamento e Vida na Água, no Colégio Estadual Duque de Caxias (RJ−Brasil)",,GLEIDE ALENCAR,"Os Objetivos de Desenvolvimento Sustentável (ODS) foram estabelecidos pela Organização das Nações Unidas (ONU) em 2015 como parte da
Agenda 2030 para o Desenvolvimento Sustentável (Moreira, 2020). Esses objetivos globais visam acabar com a pobreza, proteger o planeta e garantir
que todas as pessoas desfrutem de paz e prosperidade. A oficina procurou fornecer informações sobre os ODS, além de desenvolver o conhecimento de
geologia e física para estudantes do ensino médio. Foram realizadas pesquisas bibliográficas sobre as ODS, a importância da água para o bem estar,
desenvolvimento da sociedade e geologia. Para o desenvolvimento da oficina, elaborou−se uma apresentação em powerpoint com a temática,
selecionou−se frações granulométricas de quartzo e rochas sedimentares, criação de um livreto com diferentes atividades sobre as ODS, um experimento
de capilaridade e um questionário de avaliação. A oficina foi aplicada na escola Estadual Duque de Caxias para 30 alunos do 1° e 2° Ano do ensino médio,
com idades variando entre 15 e 18 anos. Seguindo o método de Libâneo (1993) aplicou−se o mesmo questionário de múltipla escolha antes e após a
oficina, com respostas Sim, Não e Talvez. A atividade se deu com aula teórica, uso de imagens no powerpoint e rochas sedimentares. Em seguida foram
apresentados experimentos que eles poderiam refazer em casa. Os resultados mostraram que houve uma melhora significativa no conhecimento
adquirido com a atividade, após a análise dos dados observou−se que houve um aumento de 48,4&percnt; nos acertos em relação às perguntas
relacionadas ao entendimento acerca do tema proposto. Ao finalizar a oficina com o questionário foram distribuídos livretos sobre os temas dados durante
a apresentação. As oficinas em escolas são importantes a fim de complementar a formação educacional dos estudantes com temas do cotidiano e
conscientização dos temas das ODS servindo de inspirações concretas para a preservação dos recursos hídricos e o engajamento em prol de um futuro
mais sustentável (Bacci, 2008).","BACCI, D. de L. C., & PATACA, E. M.. (2008). Educação para a água. Estudos Avançados, 22(63), 211–226.
https://doi.org/10.1590/S0103−40142008000200014 LIBÂNEO, José Carlos. Didática. São Paulo: Editora Cortez, 1993 MOREIRA, T., SANTOS, R. (2020)
Educação para o desenvolvimento sustentável na escola: ODS 14, vida na água − UNESCO"
Pesquisa,Pôster Virtual,45,WE−ME: UM SISTEMA PARA FILTRAGEM E EXTRAÇÃO PADRONIZADA AUTOMÁTICA DE GEOINFORMAÇÕES DE DADOS DE POÇOS PARA,,FRANCISCO MANOEL WOHNRATH TOGNOLI,"O Brasil abriga um dos maiores repositórios de dados de poços do mundo, gerenciado pela Agência Nacional de Petróleo, Gás Natural e
Biocombustíveis (ANP). As iniciativas REATE (Programa de Revitalização da Exploração e Produção de Petróleo e Gás Natural em Áreas Terrestres) e do
PROMAR (Programa de Revitalização e Incentivo à Produção de Campos Marítimos) ampliaram o acesso a esses dados, abrindo novas possibilidades para
exploração e pesquisa. No entanto, o grande volume e a diversidade de formatos tornam a preparação de dados um desafio para geocientistas,
especialmente para análises avançadas em softwares de interpretação sísmica e modelagem geológica. A falta de padronização entre registros históricos
e contemporâneos torna o processo manual de análise, seleção e extração lento e suscetível a erros. Para enfrentar esses desafios, foi desenvolvida uma
ferramenta em Python que automatiza a extração, organização e o processamento dos dados provenientes da ANP, chamada de WE−ME ( Well data
Extraction − Made Easy ). Ela filtra e estrutura informações essenciais, como coordenadas UTM e datum, dados direcionais (profundidade medida,
profundidade vertical verdadeira, inclinação, azimute) e interpretações sobre litologia (tipos de rochas, sua granulometria e seu grau de arredondamento
por intervalo de profundidade), litoestratigrafia e cronoestratigrafia. Os resultados são planilhas resumidas e arquivos detalhados prontos para integração
com softwares de interpretação sísmica. Processos para extrair, transformar e carregar (ETL) dados, que antes levavam semanas, agora podem ser
realizados em minutos. O sistema foi testado e aperfeiçoado com 60 dados de poços: dos campos de Mexilhão e Búzios ( offshore ), na Bacia de Santos;
dos campos de Raia Manta e Pintada ( offshore ), na Bacia de Campos; e da Bacia do Acre ( onshore ). Posteriormente, a utilização dos outputs gerados
demonstrou ter integração bem−sucedida a um software de interpretação sísmica. Sendo assim, WE−ME aproveita a flexibilidade do Python para criar
scripts personalizados que agilizam tarefas repetitivas, melhoram a acessibilidade e incentivam a reprodutibilidade. Este trabalho destaca como a
automatização pode simplificar a manipulação de big data , promovendo a utilização de grandes bancos de dados de poços em estudos exploratórios e
contribuindo para a otimização de processos nas geociências e na indústria de energia.","FRANCISCO, Maria Eduarda Candida Francklim. WE−ME: Uma ferramenta para filtrar dados de poços e automatizar a extração padronizada
de suas informações para interpretação sísmica. 2025. Trabalho de Conclusão de Curso (Graduação em Geologia) – Departamento de Geologia, Instituto
de Geociências, Universidade Federal do Rio de Janeiro, Rio de Janeiro, 2025."
Pesquisa,Oral,67,A TERRA EXCÊNTRICA,,MARTA BONIMOND (MARTA SIMÕES PERES),"A ficção científica, enquanto gênero e ferramenta de reflexão, oferece um espaço privilegiado para explorar os limites da condição humana, das
questões ambientais, dos relacionamento entre as partes, para questionar as estruturas sociais e imaginar futuros possíveis. Do século XIX às produções
contemporâneas, a ficção científica tem servido como um reflexo de nossa realidade, projetando utopias, distopias e cenários que desafiam nossa
compreensão do presente. Este trabalho propõe um deslocamento numa outra direção: adentrar um tempo e um espaço além das previsões distópicas
convencionais, um lugar onde a civilização humana, tal como a conhecemos, deixou de existir. É proposto um cenário onde a humanidade já não é mais
protagonista, e sim uma presença residual. Este cenário é conceituado e chamado de Momento−Sistema. Neste contexto, a dissertação se desdobra em
diferentes estratos: uma revisitação histórica e conceitual da ficção científica até a elaboração de um projeto artístico transdisciplinar que materializa
essa percepção. Através de uma abordagem performativa e ficcional, o trabalho explora questões epistemológicas, ambientais e criativas, propondo uma
reflexão sobre o repertório ambiental como base para a construção de novos entendimentos. Esta dissertação não se limita a uma investigação teórica;
ela é também um relato de processo, uma narrativa que acompanha a trajetória artística. Ao descrever e analisar um exercício performativo realizado no
âmbito desta pesquisa, contextualiza o desenvolvimento do projeto e evidencia os desdobramentos práticos e conceituais que emergiram dessa
experiência. O texto que se segue é tanto uma exploração teórica quanto um testemunho criativo, com um sopro de autoetnografia, um convite a
imaginar um futuro além das narrativas convencionais e a refletir sobre o que significa ser humano em um mundo onde a humanidade já não existe.","KRENAK, Ailton. Futuro Ancestral. Companhia das Letras. 2022. (pág. 13) BANIWA, Francy; BANIWA, Francisco. Umbigo Do Mundo. Pinturas
de Frank Baniwa. Rio de Janeiro: Dantes Editora, 2023. REIS, Beatriz Vianna. Aproximações poéticas entre produção cultural indígena e a obra de Celeida
Tostes. Encontro de História da Arte, n. 14, p. 1024−1034, 2019."
Extensão,Pôster Virtual,75,"Geociências, Protagonismo Feminino: A Exposição Virtual de Martine Bertereau",,GLEIDE ALENCAR,"A trajetória das geociências é marcada pela contribuição de pessoas comprometidas em desvendar os processos naturais da Terra e aplicar
esse conhecimento em benefício da sociedade. A história das geociências tem sido genericamente interpretada como uma história de cientistas do sexo
masculino, mas a inclusão de sua estrutura social na pesquisa histórica deixa claro como as mulheres, em vários papéis, participaram e moldaram essa
trajetória (Gomes,2017). Este trabalho consiste na apresentação da Exposição Virtual de Martine Bertereau: Geociências e Protagonismo Feminino,
ressaltando a importância dos trabalhos científicos da geocientista Martine Bertereau e promovendo reflexões sobre a participação das mulheres nas
geociências. A divulgação científica na forma de exposição virtual busca promover acessibilidade, tornando−se uma importante ferramenta de inclusão e
democratização do saber. Foram realizadas pesquisas bibliográficas sobre a história das geociências, divulgação científica e exposições virtuais. Martine
Bertereau, conhecida como a baronesa francesa de Beausoleil, foi a primeira mulher mineralogista (Jones,2005) .A exposição virtual, montada no
programa Artsteps há 1 ano, menciona sua vida, perseguição e contribuições às geociências (usando a técnica da radiestesia para encontrar água e
minerais de 1610 a 1638), com 20 imagens cuidadosamente selecionadas, incluindo ilustrações de manuscritos, gravuras da época e representações
artísticas de Martine em seus trabalhos de campo com mineração. A abordagem utilizada combina cenários fictícios de um museu com conteúdo
científico, promovendo uma experiência acessível, imersiva, instigante e educativa. A exposição tem fomentado o debate sobre o protagonismo feminino
nas geociências ao apresentar uma figura histórica muitas vezes esquecida, contribuindo para a construção de novas narrativas que valorizam a presença
e a produção científica de mulheres. Além disso, ela instiga reflexões sobre as barreiras enfrentadas por cientistas mulheres ao longo da história,
ampliando o debate para a presença feminina nas ciências em geral. A exposição já obteve 45 visualizações e está sendo divulgada por meio do
Instagram, na página do laboratório @labgeofisica. A interação com o público acontece por meio de comentários e mensagens diretas, fomentando o
diálogo entre ciência e sociedade. Dessa forma, a Exposição Virtual de Martine Bertereau cumpre um papel essencial ao unir divulgação científica,
protagonismo feminino e acessibilidade, servindo como inspiração para novas ações que promovam a equidade de gênero nas ciências.","GOMES, Claudia. Mulheres nas ciências: o caso de Martine de Bertereau, baronesa de Beausoleil. Caderno Espaço Feminino, v. 30, n. 1, p.
117−134, 2017. JONES, Diana L. Martine de Bertereau: The First Female Mineralogist and Her Fate. Women in Science, v. 22, p. 65−80, 2005.
VANDERMEERSCH, Patrick. Science et sorcellerie au XVIIe siècle: Le cas de Martine de Bertereau. Paris: Editions du Cerf, 1998. MORAES, Lídia de Oliveira.
Ciência, gênero e poder: mulheres na história da geologia. Revista Brasileira de História da Ciência, v. 4, n. 1, p. 54−67, 2011."
Extensão,Oficina Avaliada,81,OFICINA RENOVÁVEIS −TECNOLOGIA E ARTE,,PAULA MACEDO LESSA DOS SANTOS,"Abordar a expressão ""fonte renovável"" requer uma reflexão do que significa estas duas palavras juntas e o contexto em que são utilizadas
atualmente. A palavra fonte possui diversos significados e, junto com a palavra renovável, a expressão pode ser interpretada como ""procedência, origem
do que se pode renovar"". Nesse contexto, a expressão se adequa às fontes renováveis de matéria e energia, vistas como a saída para suprir as
necessidades de consumo das gerações atuais e futuras. O acúmulo de resíduos, o esgotamento de fontes não−renováveis, os impactos ambientais
negativos, a ameaça de escassez hídrica, dentre outras, são as razões pelas quais o uso de biomassa e de energia renovável vem sendo a força motriz
para a proposição de novas tecnologias, processos e materiais. No ano de 2022, o Brasil utilizou 47,4&percnt; de fontes renováveis de energia, enquanto
que o mundo utilizou 14,3&percnt; [1]. Estes dados da Empresa de Pesquisa Energética revelam o interesse nacional em fontes renováveis. Para dialogar
com o público, a oficina intitulada ""Renováveis − Tecnologia e Arte"" tem por objetivos: discutir as fontes renovávies de matéria e energia; explicar a
captação de energiade fonte renovável; estimular a expressão artística por meio de materiais renováveis. A metodologia utilizada para a realização da
oficina dar−se−á por meio de três atividades: jogo físico ""Idéia no Tubo""; experimento interativo ""Roda−roda RECICLAB""; experimento ""Arte com folhas"".
O uso de jogos e atividades mão na massa, são recursos educaionais que vêm na contra−mão do hábito social de viver preso nas telas de celulares e etc.
As atividades mão na massa resgatam a criatividade, a criticidade e a ludicidade em pessoas de todas as idades [2]. A educação ambiental pode se
utilizar da arte para trabalhar a alegria, o lúdico, a beleza, o agradável e o criativo na contrução de seus conceitos [3]. Os participantes da oficina serão
convidados a realizar as atividades, cuja mediação será feita pelos estudantes extensionistas do Projeto RECICLAB, de forma dialogada, onde serão
apresentadas as vantagens e desafios relacionados aos usos das fontes de materiais e de energia. Como resultados esperados podem−se citar a
elaboração das atividades e construção dos experimentos pelos extensionistas do projeto e a elaboração de conteúdos para divulgação do tema no
Instagram @projetoreciclab. A participação ativa do público e o entendimento dos conceitos a serem discutidos também são resultados esperados na
realização da oficina.","[1] MATRIZ Energética e elétrica. Empresa de Pesquisa Energética − EPE. Disponível em: https
E://www.epe.gov.br/pt/abcdenergia/matriz−energetica−e−eletrica. Acesso em: abr. 2025. [2] CADERNO do Educador mão na massa − dos princípios às
práticas. Instituto Catalisador, 2021. Disponível em:
https://educacaointegral.org.br/wp−content/uploads/2021/09/CadernoEducador_PDFsite_edicao_01.pdf. Acesso em: abr. 2025. [3] PHILIPPI JÚNIOR,
Arlindo; PELICIONI, Maria Cecília Focesi. Educação ambiental e sustentabilidade. 2. ad. rev. atual. Barueri: Manole, 2014."
Pesquisa,Oral,85,"GEOLOGIA ESTRUTURAL DE UMA TRANSECTA NO COASTAL TERRANE, FAIXA KAOKO − FOZ DO RIO KUNENE, NAMÍBIA",,RENATA DA SILVA SCHMITT,"A Faixa Kaoko é um orógeno neoproterozoico N−S resultante da colisão entre os crátons de Angola e Rio de la Plata na amalgamação do
Gondwana. Destaca−se nela, o Coastal Terrane , terreno paralelo à costa NW da Namíbia e apresenta evolução tectônica distinta do restante do cinturão.
Seu prolongamento offshore correlaciona−se com o Terreno Oriental da Faixa Ribeira. Entretanto, a região da foz do Rio Kunene, fronteira entre Namíbia
e Angola onde afloram as rochas do segmento norte do Coastal Terrane , caracteriza−se pelo difícil acesso e escassez de mapeamentos geológicos
detalhados. Diante deste contexto, o trabalho tem como objetivo principal caracterizar estruturalmente o segmento norte do Coastal Terrane na região da
foz do Rio Kunene, visando compreender sua evolução tectônica. Para isso, foi realizado um levantamento geológico−estrutural em uma transecta E−W
(1:25.000), com coleta de 200 kg de amostras para análises petrográficas, geoquímicas e geocronológicas. Os dados estruturais permitiram elaborar
mapa, seção geológica e redes estereográficas, que auxiliaram na interpretação dos padrões estruturais. As unidades litoestratigráficas compreendem
rochas paraderivadas de alto grau metamórfico, localmente migmatíticas, associadas a corpos graníticos sin−tectônicos. Os paragnaisses apresentam
uma foliação predominante (S n ) com atitude média de mergulho 42° para 065 o , subparalela às variações composicionais do protólito (S 0 ). Esta
foliação é deformada por dobras horizontais inclinadas, fechadas a isoclinais (F n+1 ), cujos eixos mergulham, em média, 8° para 340°. O plano axial
dessas dobras transpõe localmente a S n definindo uma nova foliação S n+1 , com mergulho de 40° para 070°. As dobras F n+1 são assimétricas com
vergência para WSW. Associadas às zonas de transposição entre as foliações, desenvolvem−se zonas de cisalhamento com lineação de estiramento
strike−slip (L n+ 1), com caimento de caimento 5° para 341°. Indicadores cinemáticos, como sigmoides delta de microclina e trama S/C, mostram uma
componente sinistral de cisalhamento. As lentes graníticas ocorrem preferencialmente nas zonas de cisalhamento, portanto são interpretadas com
sintectônicas à fase D n+1 . Intercalados com os paragnaisses, ocorrem camadas de rochas calcissilicáticas, de espessura métrica, boudinadas nos
flancos das dobras F n+1 . Os boudins encurtados nas charneiras indicam que pertencem à foliação S n , formada na fase D n . Os resultados preliminares
sugerem uma evolução deformacional iniciada por tectônica tangencial de baixo ângulo (D n ), seguida por tectônica transcorrente sinistral (D n+1 ),
ambas em regime dúctil. A cinemática é compatível com o sistema de cisalhamento Puros−Three Palms−Kunene, paralelo à S n+1 , a leste da área
estudada. As próximas etapas envolvem análise microtectônica e datação das fases deformacionais. O estudo integra o projeto Geodinâmica do
Gondwana SW (UFRJ−PETROBRAS, IGEO−22661).","GOSCOMBE, Ben; GRAY, David R. The Coastal Terrane of the Kaoko Belt, Namibia: outboard arc−terrane and tectonic significance.
Precambrian Research, v. 155, n. 1−2, p. 139−158, 2007."
Ensino-Pesquisa-Extensão,Minicurso (atividade extra),128,PROGAMAÇÃO EM PYTHON DE JOGOS DIGITAIS PARA A EDUCAÇÃO,,CARLO EMMANOEL TOLLA DE OLIVEIRA,"**Minicurso de Python com Bibliotecas Próprias para Internet** **Público−alvo:** Alunos do ensino fundamental, médio e graduação
**Objetivo:** Introdução rápida sobre desenvolvimento de sistemas computacionais e jogos web com Python **Descrição:** Este minicurso é uma
introdução prática e colaborativa à programação em Python, com foco no desenvolvimento de jogos digitais utilizando bibliotecas próprias para internet.
Os participantes serão guiados passo a passo na criação de um jogo simples, integrando conceitos fundamentais de computação e pensamento
computacional. **Princípios Pedagógicos:** − **Colaboração:** Construção coletiva de um jogo que serve como ferramenta de aprendizado. −
**Letramento Digital:** Alinhado com a Base Nacional Comum Curricular (BNCC) da Computação, promovendo habilidades essenciais para o século XXI. −
**Aprendizado Lúdico:** Uso de jogos para ensinar lógica de programação, estruturas de dados e funcionalidades avançadas de forma intuitiva.
**Conteúdo Abordado:** â Introdução à programação em Python â Uso de bibliotecas próprias para internet â Desenvolvimento de um jogo digital
com temas educacionais â Conceitos de programação orientada a objetos e estruturas de controle **Diferenciais:** − **Acesso rápido:** Em poucos
minutos, os participantes terão um jogo funcional. − **Interdisciplinaridade:** Integração de conhecimentos da educação básica com computação. −
**Divulgação de plataforma de ensino:** Este minicurso apresenta uma plataforma de acesso livre que permite que a pessoa continue a aprender por
conta própria, aprofundando esses conceitos em projetos mais complexos. **Objetivo Final:** Despertar o interesse pela programação e mostrar como a
computação pode ser uma ferramenta poderosa para educação e criatividade. **Venha programar seu primeiro jogo e descubra como a computação pode
transformar ideias em realidade!**","DOS SANTOS, Angélica Zumpichiatti et al. Construçao de um jogo como facilitador do ensino de organelas celulares. In: Simpósio Brasileiro
de Jogos e Entretenimento Digital (SBGames). SBC, 2022. p. 949−958. Carla Verônica Machado Marques, Ana Paula Cavadas Rodrigues, Claudia Lage
Rebello da Motta, Carlo Emmanoel Tolla de Oliveira. Pedagogia Neurocientífica Ativa com Jogos. DOI: https://doi.org/10.5753/sbc.15911.7.2 MARQUES,
Carla Verônica Machado; DE OLIVEIRA, Carlo Emmanoel Tolla; FERNANDES, Raquel Moreira Machado. Metodologia neurocientífica−pedagógica aplicada à
concepção de jogos para ativação das funções cognitivas de estudantes da educação básica. JAIE 2019"
Pesquisa,Oral,136,"DA ""AGÊNCIA DA NATUREZA"" À PRODUÇÃO SOCIAL DO ESPAÇO: SOFRIMENTO AMBIENTAL, PAPEL DO ESTADO E ESTRATÉGIAS DE",,MARCELO LOPES DE SOUZA,"O fenômeno da erosão costeira no distrito de Atafona, no município de São João da Barra (RJ), tem, desde a década de 1970, promovido a
destruição de residências, de estabelecimentos comerciais e da infraestrutura da localidade. A população da vila, composta por diversos grupos sociais,
precisou reagir a esta situação, porém de maneiras distintas. No decorrer do processo de recuo da linha de costa, diversas casas foram abandonadas,
seja por veranistas ou por moradores permanentes, devido à situação de sofrimento ambiental representada pela ameaça constante do avanço do mar
(Souza, 2019). Diante do processo erosivo que tem destruído a orla da vila, como a população tem reagido à problemática que se instalou, e que vem, há
décadas, desvalorizando e destroçado patrimônio público e privado? E o que tem sido feito pelo aparelho de Estado para mitigar os efeitos deletérios
sobre os moradores da localidade? O objetivo geral deste trabalho é examinar o que, sob o ângulo do enfrentamento do problema, tem sido feito pelo
Estado e pela própria sociedade civil, e como o espaço tem sido socialmente produzido nos marcos das limitações impostas pelo fenômeno da erosão
costeira. Para a realização deste trabalho foram realizadas entrevistas com a população de Atafona efetuadas durante visitas a campo, de modo a
compreender a percepção e no impacto do avanço do mar para pescadores, moradores e veranistas, por exemplo (Losciuto, 1987). Ademais, além da
realização de pesquisa bibliográfica sobre a localidade e o processo erosivo, foi efetuada uma análise da ação do aparelho de Estado nesta problemática,
por meio de uma análise das eventuais medidas de mitigação anunciadas ou implementadas e foram acompanhadas apresentações e reuniões acerca
deste tema, devido à chance que estas ocasiões oferecem de observar os pontos de vista apresentados pelos diferentes grupos sociais de Atafona
(Gomes, 2012). Este trabalho pretende cumprir com os objetivos propostos a partir dos enfoques da Geografia Ambiental e da Ecologia Política.","GOMES, R. da S. A ilha, o mar e a “cidade debaixo d’água”: paisagens e mudanças ambientais em Atafona − RJ. Dissertação de
mestrado—Rio de Janeiro: Universidade Federal do Rio de Janeiro, 2012. LOSCIUTO, L. Questionários e entrevistas. Em: SELLTIZ, C.; WRIGHTSMAN, L. S.;
COOK, S. W. (Eds.). Métodos de pesquisa nas relações sociais. Tradução: Maria Martha Hubner D’Oliveira; Tradução: Miriam Marinotti Del Rey. São Paulo:
EPU, 1987. v. 2. SOUZA, M. L. de. Ambientes e territórios: uma introdução à Ecologia Política. 1. ed. Rio de Janeiro: Bertrand Brasil, 2019."
