area,modalidade,artigo,titulo,autores,orientadores,resumo,bibliografia
Pesquisa,Oral,9,"Os traços categoriais de “poder” no português brasileiro e de “may”, “might” e “could” no inglês americano",,ADRIANA LEITÃO MARTINS,"Este trabalho adota os pressupostos da Cartografia Sintática (Cinque, 1999). Assume−se que, enquanto advérbios são inseridos na posição de
especificador de um conjunto de projeções funcionais presentes no Middlefield (ou espaço do IP), partículas, auxiliares e modais são termos inseridos na
posição de núcleo de tais projeções (Cinque, 1999). Tal conjunto é descrito em Cinque (1999) como um inventário de projeções de tempo, aspecto, modo,
modalidade e voz, chamado de Hierarquia Universal (doravante HU). De acordo com Gomes e Mendes (2018), a modalidade expressa a atitude do falante
quanto ao conteúdo da proposição, sem que haja interferência nesse conteúdo. Em línguas como o português brasileiro (doravante PB) e o inglês
americano, há a possibilidade de modais veicularem diferentes traços criteriais que integram essa atitude. Na tipologia de Gomes e Mendes (2018), são
previstos seis subtipos de modalidade, a saber: 1) deôntica, 2) epistêmica, 3) disposicional, 4) bulética, 5) doxástica e 6) teleológica. Segundo as autoras,
o modal “poder” no PB expressa necessidade, possibilidade e capacidade, sendo compatível com o uso deôntico, epistêmico e disposicional. Para
Celce−Murcia e Larsen−Freeman (1999), enquanto modais como “ may ” e “ might ” podem expressar possibilidade, incerteza, inferência ou predição,
modais como “ could ” podem veicular, para além desses valores, capacidade. Em Cinque (1999), são previstas apenas seis projeções funcionais em que
há veiculação de traços de modalidade, na seguinte ordem de dominância: ModEpistêmicaP > ModNecessidadeP > ModPossibilidadeP > ModVolitivaP >
ModObrigaçãoP > ModPermissãoP. Embora sejam previstos locais de soldagem de modais na HU, escarçam, ainda, trabalhos que sistematizam os traços
criteriais veiculados por “poder”, no PB, “ may ”, “ might ” e “ could ”, no inglês americano, além de sua possível subespecificação lexical para mais de
um traço na HU, o que justifica a existência deste trabalho. O objetivo geral desta pesquisa é contribuir para os estudos de representação da modalidade
nas línguas naturais. O objetivo específico é descrever os traços veiculados por “poder” no PB e por “ may ”, “ might ” e “ could ” no inglês americano.
Com base na verificação de tais traços, será possível propor locais de soldagem de “poder”, “ may ”, “ might ” e “ could ” na HU. As hipóteses são: 1)
“poder” possui apenas leitura de necessidade, possibilidade e capacidade, 2) “ may ” e “ might ” possuem apenas leitura de possibilidade, incerteza,
inferência ou predição e 3) “ could ” possui apenas leitura de possibilidade, incerteza, inferência ou predição e capacidade. Justificam−se tais hipóteses
com base nas generalizações de Gomes e Mendes (2018) e de Celce−Murcia e Larsen−Freeman (1999). A metodologia consiste na análise
quali−quantitativa dos resultados de um teste de interpretação de sentenças, aplicado a 20 falantes nativos de PB e a 20 de inglês americano. Espera−se
que os resultados venham ao encontro das predições apresentadas.","CELCE−MURCIA, Marianne; LARSEN−FREEMAN, Diane. The Grammar Book: An ESL/EFL Teacher’s Course (2nd ed.). Boston, MA: Heinle and
Heinle, 1999. CINQUE, Guglielmo. Adverbs and Functional Heads: a cross−linguistic perspective. New York: Oxford University Press, 1999. GOMES, Ana
Quadros; MENDES, Luciana Sanchez. Para Conhecer Semântica. São Paulo: Contexto, 2018."
Pesquisa,Oral,22,A CONTRIBUIÇÃO DA PAISAGEM URBANA NA PROMOÇÃO DA SAÚDE E DO BEM−ESTAR,,MARIA ELISA MARANGONI FEGHALI,"Recentes trabalhos relacionam a importância do contato com a natureza e os espaços livres urbanos como promotores de saúde e bem−estar
(LOUV, 2017), com ênfase na paisagem urbana, seus espaços livres e os materiais que os compõem e de como esses espaços podem impactar no
bem−estar das pessoas e no controle de doenças, tais como obesidade e diabetes. Outros estudam as relações de seus elementos vegetais e a
propagação de doenças no meio urbano, com a identificação de árvores que contribuem como atrativo aos vetores de propagação (MESQUITA, 2019), que
reforçam a importância de abordagens transdisciplinares em pesquisas sobre paisagem, saúde e bem−estar. Esta pesquisa, com início em 2022 conta
com a participação de alunos dos cursos de Paisagismo e de Saúde Coletiva. Inicialmente, estes se debruçaram em leituras sobre o tema e em discussões
com a finalidade de entender a fronteira dos campos disciplinares da paisagem e da saúde e qual a contribuição efetiva da proposta da pesquisa. Com
metodologia participativa−qualitativa, tendo o pesquisador como observador, a pesquisa busca a partir das correlações entre os elementos da paisagem
e o campo da saúde, propor cenários possíveis que auxiliem a saúde e o bem−estar das pessoas. No trabalho de campo optou−se por analisar áreas com
diferentes perfis de usuário e de ambiência urbana, na cidade do Rio de Janeiro, com objetivo de investigar a evolução da perda de áreas vegetadas,
identificar os espaços livres tais como praças, parques e ruas, como contribuição para estudos que relacionem desflorestamento, arborização urbana e a
propagação de doenças no meio urbano, analisar os elementos que compõem a paisagem urbana no recorte escolhido, a forma de distribuição e suas
composições, tais como: mobiliário, pisos, revestimentos, elemento água, vegetação e quais podem contribuir para mitigar ou catalisar a propagação de
doenças e a promoção da saúde e do bem− estar de seus usuários. Na primeira análise optou−se por uma área central da cidade e na etapa atual
apresentamos uma área localizada na zona sul. Como proposta metodológica, para esta etapa, utilizamos mapeamentos virtuais com o auxílio de
ferramentas tais como Google Maps, Google Street View e QGIS, aliadas à análise fotográfica ´´in situ´´ e gravações comentadas, aplicadas a percursos
pré−definidos para, a partir deste inventário em um estudo de caso piloto, propor diretrizes de planejamento paisagístico e de manejo dos elementos
identificados. O trabalho intenta produzir simulações gráficas de cenários possíveis para requalificar a área, com vistas a espaços livres urbanos mais
amigáveis e saudáveis. Como desdobramento futuro, a pesquisa planeja originar uma cartilha ilustrada como meio de propagar e conscientizar
coletivamente sobre a importância do planejamento da paisagem, como mais um gesto, ao lado de outros, que pode contribuir para medidas preventivas
de saúde coletiva e auxiliar com impacto financeiro em ações de política de saúde pública.","REFERÊNCIAS BIBLIOGRÁFICAS ♦ LOUV, R.Vitamin N. Atlantic Book, London, 2017. ♦ MESQUITA, M. Aplicação do sensoriamento remoto
para a identificação das relações da paisagem urbana com a transmissão da leishmaniose visceral.Tese de Doutorado, Programa de Pós−Graduação em
Biotecnologia – RENORBIO,UFPI, 2019."
Pesquisa,Oral,23,SINTAXE SUBLEXICAL E COMPOSICIONALIDADE SEMÂNTICA DOS ADJETIVOS EM −NTE DO PORTUGUÊS BRASILEIRO,,ALESSANDRO BOECHAT DE MEDEIROS,"Os adjetivos em “−nte” do Português Brasileiro são derivados a partir de bases verbais e raízes latinas. Os deverbais são formas ativas, pois os
sintagmas nominais que modificam são interpretados como os sujeitos de seus verbos de origem. O sufixo forma adjetivos que podem ter uma leitura de
propriedade, como (1) “João é um menino sorridente”, ou de evento em andamento, como (2) “João chegou sorridente”. A estrutura argumental do verbo
de base parece influenciar na interpretação do adjetivo derivado, como aponta Duffield et. al. (2004) para o particípio presente do inglês, uma vez que
predicados incoativos licenciam apenas a leitura de evento, enquanto os inergativos permitem ambas. Em (3) “água fervente”, a água não possui a
propriedade de ferver, mas está passando pelo evento expresso pela estrutura verbal interna a “fervente”. Além disso, partindo da hipótese de que tais
adjetivos possuem sintagmas verbais completos em suas estruturas − incluindo morfemas associados à interpretação e introdução de argumentos
externos (Kratzer, 1996; Medeiros, 2010) − a impossibilidade da presença do argumento interno em casos como (4) “o homem aterrorizante de
mulheres” também é algo a ser investigado. Assim, o objetivo deste trabalho é descrever o comportamento do sufixo “−nte” e a influência dos diferentes
contextos em que ele ocorre. Utilizando a arquitetura de gramática da Morfologia Distribuída (Halle; Marantz, 1993; Marantz, 1997) e as ferramentas
lógico−matemáticas da Semântica Formal (Heim; Kratzer, 1998; Ferreira, 2019), propomos representações sintáticas e semânticas que explicam os dados
coletados. Dessa maneira, buscamos contribuir para o estudo e a compreensão do processo de formação de palavras morfologicamente complexas nas
línguas naturais. Para isso, montamos um corpus através da consulta a dicionários online e realizamos dois testes de aceitabilidade com 40 e 46 falantes
nativos do PB. Notamos, então, a baixa aceitabilidade da presença do argumento interno, a aceitabilidade de adjetivos com verbos de base
transitivos/inergativos em ambas as leituras e a menor produtividade dos inacusativos/incoativos, os quais licenciam apenas a leitura de evento.
Atribuímos as diferentes leituras às duas possibilidades aspectuais veiculadas pelo morfema Γ: genérico ou imperfectivo. ΓP, fruto da concatenação com a
estrutura verbal, é tomado pelo adjetivizador realizado por /nt/. Quando o nó aspectual se concatena direto ao o vP, só é possível obter uma leitura de
evento, já que não há sujeito a quem qualquer propriedade possa ser atribuída. Em relação ao problema do argumento interno não saturado nas
estruturas transitivas, propomos que tal contexto desencadeia um alossema de v que quantifica a variável de entidade.","DUFFIELD, Nigel; KLEIN, Wolfgang; GOODLUCK, Helen; HEYCOCK, Caroline; LADD, Bob; MATUSHANSKY, Ora; PLUNKETT, Bernadette;
SHAER, Ben; TRAVIS, Lisa. Flying Squirrels and Dancing Girls: Events, Inadvertent Cause and the Temporal Anchoring of English Present Participles. 2004.
FERREIRA, Marcelo. Curso de semântica formal. Language Science Press, 2019 MARANTZ, A. No Escape from syntax: don’t try morphological analysis in
the privacy of your own lexicon. University of Pennsylvania Working Papers in Linguistics, vol. 4, issue 2, article 14, 1997."
Extensão,Pôster Virtual,39,Relato de Experiência: Os principais desafios e observações de um extensionista do projeto Universidade na Base no Instituto Mãos Unidas.,,ARACELI CRISTINA DE SOUSA FERREIRA,"O Projeto de Extensão “Universidade na Base” é fruto de uma parceria entre a Universidade Federal do Rio de Janeiro (UFRJ) e o Instituto Mãos
Unidas (IMU), e representa uma das frentes de atuação do Instituto que beneficia mais de 600 famílias de nove comunidades da Zona Oeste do Rio de
Janeiro. Além do reforço escolar, o projeto oferece atendimentos voltados para as principais necessidades dessas comunidades. As aulas de reforço em
Língua Portuguesa e Matemática são ministradas por voluntários e estudantes extensionistas, contemplando crianças, adolescentes e jovens, desde o
processo de alfabetização até o apoio na busca pelo primeiro emprego. A colaboração com a UFRJ surgiu para suprir uma lacuna identificada pelo IMU: a
escassez de voluntários com formação específica na área da educação. Nesse contexto, o projeto convida estudantes de cursos de Licenciatura a atuarem
diretamente nas aulas, contribuindo com estratégias pedagógicas que fortalecem o processo de ensino−aprendizagem. Este trabalho constitui um relato
de experiência e observação da atuação de uma dessas extensionistas. A partir disso, algumas perguntas orientam a reflexão sobre a vivência no projeto:
De que forma essa participação contribuiu para a formação da estudante? Como o contato direto com pais, alunos e demais voluntários ampliou sua
percepção sobre a prática docente? E de que maneira ela mesma pôde colaborar com a evolução do projeto e do espaço em que está inserida?
Compreendendo que a educação vai além da transmissão de conteúdos formais, torna−se evidente que esse projeto estabelece uma via de mão dupla:
contribui para o desenvolvimento dos alunos atendidos e, ao mesmo tempo, enriquece a formação dos licenciandos. A experiência prática, especialmente
no campo educacional, é fundamental para a aprendizagem e preparação de futuros professores da educação básica. Assim, iniciativas como essa não
apenas impactam positivamente as comunidades atendidas, mas também proporcionam um espaço valioso de formação docente. Embora o projeto ainda
esteja em desenvolvimento e não disponha de dados finais sobre os impactos da atuação dos extensionistas, os resultados preliminares indicam avanços
significativos. A análise das atividades desenvolvidas pelos estudantes aponta uma tendência positiva de evolução nas competências em Língua
Portuguesa e Matemática. Além disso, depoimentos de coordenadores, estudantes e famílias reforçam a importância da parceria entre a universidade e o
Instituto, evidenciando seu papel transformador tanto na comunidade quanto na formação dos futuros educadores.","MUSSI, Ricardo Franklin de Freitas. FLORES, Fábio Fernandes. ALMEIDA, Cláudio Bispo de. Pressupostos para a elaboração de relatório de
experiência como conhecimento científico. In: Prax. Educ. Vol. 17 no. 48 Vitória da Conquista. Out/dez 2021."
Pesquisa,Oral,48,ALÉM DAS PARTITURAS: COMO OS ENSINAMENTOS DE TRANSMISSÃO ORAL ESTÃO PRESENTES NAS AULAS DE INSTRUMENTOS,,SAMUEL MELLO ARAUJO JUNIOR,"O presente trabalho visa explorar como os conhecimentos de transmissão oral estão presentes no ensino de piano em nível superior no Brasil,
com base em metodologias de pesquisa etnomusicológica. O repertório principal trabalhado nas aulas foi o da música de concerto para piano solo. A
partir disto, acompanhou−se aulas coletivas de instrumentos dentro da universidade durante o segundo semestre de 2024, observando os fatores orais
não explicitados nos textos musicais, cujas observações foram registradas em relatórios. O modelo seguido foi o de participação ativa, portanto, direta
nas discussões e nas aulas, inclusive como discente executante. Pode−se observar diversos aspectos relevantes à performance pianística, os quais
devem ser trabalhados e debatidos em sala de aula para que haja a formação de um(a) performer capaz de conciliar os padrões estilísticos de
determinada obra a um estilo próprio. Ao final da pesquisa, observou−se os principais pontos trabalhados nas aulas coletivas e constatou−se que, apesar
da partitura ser uma das ferramentas utilizadas, o ensino de transmissão oral se torna indispensável para completarmos a construção de uma
performance musical.","OLIVEIRA PINTO, T., Som e Música: Questões de uma Antropologia Sonora, 2001. MARTINS, L. Performances da Oralitura: Corpo, Lugar da
Memória. Universidade Federal de Minas Gerais (UFMG), 2003 ARAÚJO, S. Em busca da inocência perdida; oralidade, tradição e música no novo milênio. In
Rosângela Pereira de Tugny e Rubens Caixeta (Orgs.), Músicas africanas e indígenas no Brasil. Belo Horizonte: Editora da UFMG, p. 59−70, 2006"
Extensão,Pôster Virtual,53,PROJETO LER: REFLEXÕES SOBRE A PRÁTICA DA LIBERDADE E ESCRITA EM ESPAÇOS DE PRIVAÇÃO DE LIBERDADE,,PAULO ROBERTO TONANI DO PATROCÍNIO,"Em “Direito à Literatura” (1988), Antonio Candido nos convida a pensar a literatura como um direito humano e a refletir sobre como um livro
pode funcionar como um caminho de identificação para o leitor, por meio da história contada em suas páginas. Paulo Freire nos provoca em “A
Importância do Ato de Ler” (1981), ao defender que ler é também ler o mundo. A partir dessas reflexões, esta comunicação apresenta a experiência
desenvolvida no Projeto LER: Leitura, Existência e Resistência, que atua na promoção da remição de pena pela leitura em unidades prisionais do estado
do Rio de Janeiro. O objetivo é propor práticas de leitura e de correção de resenhas e relatórios de leitura produzidos por participantes do projeto. O
corpus analisado é composto por textos escritos por pessoas privadas de liberdade, que participam da remição de pena por meio da leitura. Além da
análise dessas produções, a comunicação discute os critérios e métodos de correção das resenhas e relatórios, reconhecendo a complexidade desse
exercício diante de um grupo com formação heterogênea, atravessado por diferentes marcadores sociais da diferença, como raça e classe. A pesquisa
visa, ainda, evidenciar o modo como a correção é conduzida e ressaltar a importância de que esses relatos sejam lidos e valorizados.","CANDIDO, Antonio. O direito à literatura. In: ___. Vários Escritos. Rio de Janeiro: Ouro sobre Azul/ São Paulo: Duas Cidades, 1988. FREIRE,
Paulo. A importância do ato de ler: em três artigos que se completam. São Paulo: Cortez, 1981."
Pesquisa,Oral,54,O INCÔMODO COMO POTÊNCIA,,RENAN JI,"Este trabalho propõe uma leitura comparativa entre o romance “A paixão segundo G.H.” (2009), de Clarice Lispector, e as músicas de Linn da
Quebrada presentes nos álbuns “Pajubá” (2017) e “Trava línguas” (2021), investigando como o incômodo e a desestabilização subjetiva operam como
forças de potência e transformação. A análise parte da inquietação apresentada por G.H. e Linn diante da ruptura de estabilidade identitária e da tensão
entre corpo, norma e linguagem. Por meio dos aportes teóricos de Guacira Lopes Louro (2018), observa−se como o corpo − ora invisibilizado, ora
colocado sob intensa vigilância − se torna campo de disputa e criação de novas formas de existência. Enquanto a protagonista clariciana busca
transcendência em um mergulho interior, Linn da Quebrada confronta diretamente as violências da cisheteronormatividade, tensionando os limites da
humanidade e reivindicando sua materialidade como resistência. Através da articulação entre literatura, música e teoria queer, a comunicação evidencia
que o incômodo pode ser compreendido não como falha, mas como motor de reinvenção, deslocamento e afirmação política de subjetividades
dissidentes.","LISPECTOR, Clarice. A paixão segundo G.H. Rio de Janeiro: Rocco, 2009. QUEBRADA, Linn da. “Submissa do 7º dia”. In: Pajubá. São Paulo:
[s.n.], 2017. QUEBRADA, Linn da. “pense & dance”. In: Trava línguas. Rio de Janeiro: Altafonte, 2021."
Pesquisa,Oral,57,A CONSTRUÇÃO VOU (PRONOME) FALAR: ANÁLISE PRAGMÁTICA,,DIOGO OLIVEIRA RAMIRES PINHEIRO,"O presente trabalho, que faz parte do projeto mais amplo ""A codificação gramatical das relações interpessoais: construções idiomáticas de
intersubjetividade” , analisa a construção “Vou (PRONOME) falar ’’ ( Vou te/lhe falar) a partir do Corpus do Português na seção Web /Dialects (Davies,
2016−). O trabalho é composto de três etapas: a primeira, já realizada, foi uma etapa exploratória, que consistiu na seleção de cerca de 50 dados do
corpus e na posterior análise qualitativa desses para a elaboração de uma hipótese acerca de sua função pragmática. A partir dessa primeira análise, a
hipótese levantada foi a de que a construção tem uma semântica de contraexpectativa, atuando em dois níveis : o primeiro, chamado nível do conteúdo,
em que a violação de expectativa marcada pela construção aparece no conteúdo verbal da sentença; o segundo, o nível do ato de fala, no qual a
expectativa violada não se relaciona com o conteúdo veiculado verbalmente pela frase, mas com normas pragmáticas que estão sendo quebradas. A
segunda etapa, que está sendo finalizada no momento, é a análise quantitativa de 495 dados coletados do corpus . Os dados em questão foram,
primeiro, submetidos a um teste de composicionalidade: se a sequência pôde ser substituída pela forma de futuro simples ""te falarei"", sem prejuízo
significativo de significado, ela foi categorizada como composicional; do caso contrário, ganhou o rótulo de ""idiomática"". No momento, esses dados estão
sendo analisados a partir de parâmetros considerados relevantes para a verificação da hipótese de contraexpectativa, a saber: a presença de
adversativas e sua polaridade. Na próxima etapa será realizado, ainda, um experimento psicolinguístico para testar a pertinência da hipótese. A análise
do corpus , assim como os experimentos, é baseada em estudos sobre construções de intersubjetividade, sobretudo Verhagen (2005) e Tantucci (2021),
que argumentam que algumas expressões só podem ser explicadas de forma satisfatória levando em conta o gerenciamento mútuo das ações dos
interactantes. O objetivo deste trabalho é duplo: (i) por um lado, almeja−se fornecer uma contribuição descritiva sobre uma construção idiomática
particular do português brasileiro, dado que construções idiomáticas são um aspecto pouco estudado da gramática do PB, em comparação com seus
aspectos mais regulares e sistemáticos; (ii) de outro, pretende−se contribuir teoricamente para o atual debate, inserido dentro da tradição da Linguística
Cognitiva, sobre codificações de intersubjetividade na língua.","DAVIES, M. Corpus do Português: Web/Dialects. Disponível em:http://www.corpusdoportugues.org/web−dial/. 2016 VERHAGEN, A.
Constructions of intersubjectivity: Discourse, syntax, and Cognition. Oxford: University Press, 2005. TANTUCCI, V. Language and social minds: The
semantics and pragmatics of intersubjectivity. Cambridge: CUP, 2021."
Pesquisa,Oral,58,Caminhos das ritxòkò após o incêndio do Museu Nacional,,"KATIA CORREIA GORINI,NEUVANIA CURTY GHETTI,CRENIVALDO REGIS VELOSO JUNIOR","No dia 2 de setembro de 2018 ocorreu o incêndio do Museu Nacional, na cidade do Rio de Janeiro, ocasionando graves danos ao seu acervo,
porém, alguns conjuntos cerâmicos do Setor de Etnologia e Etnografia (SEE) foram resgatados por arqueólogos, após o incêndio. A vista disso, o
direcionamento da pesquisa coloca uma lente na análise das ritxòkò ou bonecas karajá, dentro da Coleção Resgate do Setor de Etnologia e Etnografia
(SEE) , que são consideradas como Patrimônio imaterial brasileiro tombado pelo Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN). As bonecas
faziam parte do SEE e estavam dentro de duas coleções do museu: “Os Karajás: Plumária e Etnografia” e “Brasil Indígena”, sendo assim existiam
inúmeros exemplares que são a evidência material da longa trajetória dos Karajá dentro da instituição. Em função do sinistro as cerâmicas apresentam
muitos danos materiais e sofreram dissociação do seu contexto expositivo e social. Entretanto, observa−se uma extensa lista de referências
bibliográficas sobre o povo karajá, com destaque para as etnografias: A arte e o Artista na Sociedade Karajá (FENELON,1968) e a tese A Voz das
Ceramistas Karajá (WHAN, 2010). Dessa forma, a pesquisa em andamento investiga os símbolos ainda presentes nesse patrimônio, que justifica a
importância da preservação desse acervo. Nesta etapa, está sendo realizada a análise organolépticas das cerâmicas com o auxílio das imagens feitas
anteriormente ao incêndio, detectando alterações perceptíveis visualmente como mudanças de coloração e perdas de fragmentos No momento, estão
sendo realizadas as limpezas mecânicas, o acondicionamento e a revisão bibliográfica. Os testes químicos poderão ser realizados à frente, dependendo
dos recursos disponíveis. O objetivo central visa elaborar caminhos possíveis para a conservação e restauração desse acervo a partir do comportamento
da matéria barro, da cerâmica e das experiências técnicas realizadas na Oficina Integrada Cerâmica EBA/FAU − CLA/UFRJ, acompanhado dos registros
etnográficos disponíveis sobre a confecção das peças estudadas. A recuperação dos aspectos materiais e imateriais são importantes não apenas para a
instituição de guarda, mas para ampliar o potencial das discussões que tratam do combate à invisibilidade de povos indígenas, de difundir informações e
ajudar na garantia dos direitos indígenas na contemporaneidade.","WHAN, Chang. A VOZ VISUAL DAS CERAMISTAS KARAJÁ. COSTA, Maria Heloisa Fénelon. A arte e o artista na sociedade Karajá. (No Title),
1978. JÚNIOR, VELOSO; REGIS, Crenivaldo. Índice de objetos, índice de histórias: o catálogo geral das coleções de antropologia e etnografia do Museu
Nacional. Florianópolis, Ventilando Acervos, v. especial, n. 1, p. 71−89, 2019."
Ensino-Pesquisa-Extensão,Oral,59,CENTRO DE INTERPRETAÇÃO DAS ARTES CERAMICAS,,"KATIA CORREIA GORINI,ANDRÉA DE LACERDA PESSÔA BORDE,AURELIO ANTONIO MENDES NOGUEIRA,ANA","Criada e inaugurada em 1988 pela professora, artista e ceramista Celeida Tostes, a Oficina Integrada de Cerâmica − EBA/FAU − CLA/UFRJ, vem
desenvolvendo pesquisas no campo expandido dos saberes e do conhecimento ancestrais e contemporâneos da cerâmica nas artes visuais e na
arquitetura. Desde 2019, percebendo o volume físico e digital da produção acadêmica realizada na Oficina acumulado ao longo de mais de 30 anos, os
coordenadores, colaboradores e pesquisadores PIBIC UFRJ/CNPq e PIBIAC/UFRJ do projeto−matriz “Os objetos cerâmicos como expressão do diálogo entre
arte e arquitetura”, vem desdobrando as pesquisas em camadas para dar conta de destacar a relevância deste montante para o âmbito acadêmico. Entre
os anos de 2020 e 2021, iniciou−se a pesquisa PIBIAC/UFRJ “Biblioteca Interna do Espaço de Artes Cerâmicas Celeida Tostes”, com a proposta de oferecer
a aproximação dos estudantes de dado período com a produção que lhes precedeu, promovendo a troca interna da produção da Oficina para além do
próprio espaço físico e/ou temporal. Essa dinâmica permitiu que o conhecimento gerado e as experimentações realizadas no local pelos estudantes e
pesquisadores fossem retroalimentados e adequados às suas novas necessidades. A partir disso, em 2022, iniciou−se a nova pesquisa de concepção do
“Centro de referências das artes cerâmicas”, criando um acervo digital mais intuitivo e didático, para disponibilizar a consulta ao público em geral. Após
passar por etapas de levantamento, sistematização e interpretação de dados bibliográficos e iconográficos do que já foi e está sendo produzido na
Oficina, foram realizados testes de layouts para plataformas digitais com a divulgação do acervo online, prevendo facilitar o acesso à informação.
Atualmente, o website tem conteúdos prontos para publicação e os pesquisadores vêm se debruçando nos estudos e testes sobre a tecnologia AR,
Realidade Aumentada, que servirá de modelo de exibição do acervo e possibilitará uma experiência tridimensional ao usuário. Foram testados dois
métodos principais de escaneamento: o uso do aplicativo Polycam, em dispositivos móveis com sensor LiDAR, e a plataforma Tripo AI, que gera modelos
digitais a partir da combinação de fotografias em diferentes ângulos. Os modelos obtidos são exportados em formatos como OBJ, STL, GLTF/GLB e FBX, e
podem ser ajustados em softwares como SketchUp e Rhinoceros. Isso permite novas possibilidades para exposições e curadorias digitais, o estudo
também visa à construção de um acervo tridimensional acessível, ampliando o alcance das obras para além do ateliê. Para que o acervo seja preservado
e ao mesmo tempo atualizado sistematicamente no website do Centro, a pesquisa visa produzir apostilas e materiais didáticos no formato e−books como
ação de extensão, de acordo com as relações entre as pesquisas mais antigas e as novas investigações do projeto−matriz.","Centro de Interpretação do Românico. Rotadoromanico.com. Disponível em: . Acesso em: 9 out. 2022. FERREZ, Helena Dodd.
Documentação museológica: teoria para uma boa prática. Estudos de Museologia. Rio de Janeiro: Ministério da Cultura, Instituto do Patrimônio Histórico e
Artístico Nacional. Departamento de Promoção, 1994. p. 65−74 (Cadernos de Ensaios 2). TOSTES, Celeida Moraes. Memorial de concurso para professor
titular da Escola de Belas Artes UFRJ. Rio de Janeiro, 1992."
